type_value,total_count,pct_of_typed,cumulative_pct,provinces,currently_mapped_to,proposed_category,proposed_murb_positive
Credit Union,7,0.0003,99.9474,ON,UNMAPPED -> dropped,,False
Recreation and Community Centre,7,0.0003,99.9477,BC,UNMAPPED -> dropped,institutional,False
Pump House,7,0.0003,99.948,BC;ON,UNMAPPED -> dropped,residential_single,False
Transit,7,0.0003,99.9483,ON,UNMAPPED -> dropped,,False
Centre sportif,7,0.0003,99.9486,QC,UNMAPPED -> dropped,,False
Theatre / Opera,7,0.0003,99.9489,ON,UNMAPPED -> dropped,,False
Synagogue,7,0.0003,99.9492,BC;ON;QC,UNMAPPED -> dropped,,False
Chapelle,7,0.0003,99.9495,QC,UNMAPPED -> dropped,,False
Bureau Accès Montréal,7,0.0003,99.9498,QC,UNMAPPED -> dropped,commercial,False
Ambulance Station,7,0.0003,99.9501,ON,UNMAPPED -> dropped,institutional,False
Accommodation//Hébergement,7,0.0003,99.9504,AB,UNMAPPED -> dropped,,False
Catholic Elementary (French),6,0.0003,99.9507,ON,UNMAPPED -> dropped,,False
Bureau municipal lavallois,6,0.0003,99.951,QC,UNMAPPED -> dropped,institutional,False
Ambulance,6,0.0003,99.9513,AB;SK,UNMAPPED -> dropped,institutional,False
Hôtel de ville / mairie,6,0.0003,99.9516,QC,UNMAPPED -> dropped,,False
Service communautaire,6,0.0003,99.9519,QC,UNMAPPED -> dropped,commercial,False
Community College/University,6,0.0003,99.9522,ON,UNMAPPED -> dropped,institutional,False
Single-family semi-detached,6,0.0003,99.9525,ON,UNMAPPED -> dropped,low_rise_residential,False
Sports Complex,6,0.0003,99.9528,ON,UNMAPPED -> dropped,,False
Centre culturel,6,0.0003,99.9531,QC,UNMAPPED -> dropped,,False
Sports Facility,6,0.0003,99.9534,ON,UNMAPPED -> dropped,,False
Spray Paint Operation,6,0.0003,99.9537,NS,UNMAPPED -> dropped,,False
Salt Dome,6,0.0003,99.954,NS,UNMAPPED -> dropped,,False
Comfort Station,6,0.0003,99.9543,ON,UNMAPPED -> dropped,,False
Gymnase,6,0.0003,99.9546,QC,UNMAPPED -> dropped,,False
Adult Service Centre,6,0.0003,99.9549,NS,UNMAPPED -> dropped,commercial,False
Heritage properties,6,0.0003,99.9552,ON,UNMAPPED -> dropped,,False
High Rise Residential,6,0.0003,99.9555,BC,UNMAPPED -> dropped,residential,False
Movie Theatre,6,0.0003,99.9558,BC;NS,UNMAPPED -> dropped,,False
Health,6,0.0003,99.9561,ON,UNMAPPED -> dropped,,False
Parkade,6,0.0003,99.9564,BC,UNMAPPED -> dropped,,False
Public Pool,6,0.0003,99.9567,ON,UNMAPPED -> dropped,institutional,False
GO Station,6,0.0003,99.957,ON,UNMAPPED -> dropped,,False
Plaza,6,0.0003,99.9573,ON,UNMAPPED -> dropped,,False
RAIL TERMINAL,6,0.0003,99.9576,NS,UNMAPPED -> dropped,,False
Armoury,6,0.0003,99.9579,NS;ON,UNMAPPED -> dropped,,False
Cultural or Heritage,6,0.0003,99.9582,NB,UNMAPPED -> dropped,,False
Retirement Residence,6,0.0003,99.9585,ON,UNMAPPED -> dropped,residential,False
Operations Centre,6,0.0003,99.9588,BC,UNMAPPED -> dropped,,False
Shopping,5,0.0002,99.959,BC;NS,UNMAPPED -> dropped,,False
Composting Facility,5,0.0002,99.9592,NS,UNMAPPED -> dropped,,False
INTAKE,5,0.0002,99.9594,BC,UNMAPPED -> dropped,,False
Social Services,5,0.0002,99.9596,NB,UNMAPPED -> dropped,commercial,False
Sports Arena / Stadium,5,0.0002,99.9598,NB;ON,UNMAPPED -> dropped,institutional,False
Long Term Care Facility,5,0.0002,99.96,ON,UNMAPPED -> dropped,,False
Caserne de Pompier,5,0.0002,99.9602,QC,UNMAPPED -> dropped,,False
Bar / Retail,5,0.0002,99.9604,ON,UNMAPPED -> dropped,commercial,False
Broadcast Studio,5,0.0002,99.9606,NS,UNMAPPED -> dropped,,False
arm,5,0.0002,99.9608,ON,UNMAPPED -> dropped,,False
Bus Terminal,5,0.0002,99.961,NS,UNMAPPED -> dropped,,False
Adult Learning Centre,5,0.0002,99.9612,ON,UNMAPPED -> dropped,,False
Cafe / Retail,5,0.0002,99.9614,ON,UNMAPPED -> dropped,commercial,False
Supporting Institution,5,0.0002,99.9616,ON,UNMAPPED -> dropped,institutional,False
County Building,5,0.0002,99.9618,AB,UNMAPPED -> dropped,,False
Penitentiary,5,0.0002,99.962,ON,UNMAPPED -> dropped,,False
"Gallery/Exhibition, Retail",5,0.0002,99.9622,ON,UNMAPPED -> dropped,commercial,False
Facility,5,0.0002,99.9624,BC,UNMAPPED -> dropped,,False
Police Services,5,0.0002,99.9626,ON,UNMAPPED -> dropped,institutional,False
Refuse Facility,5,0.0002,99.9628,NS,UNMAPPED -> dropped,,False
Archive,5,0.0002,99.963,NS,UNMAPPED -> dropped,,False
Developmental Building,5,0.0002,99.9632,ON,UNMAPPED -> dropped,,False
Railway,5,0.0002,99.9634,AB,UNMAPPED -> dropped,,False
Municipal Hall,5,0.0002,99.9636,BC,UNMAPPED -> dropped,institutional,False
Museum / Historic Sites,5,0.0002,99.9638,ON,UNMAPPED -> dropped,,False
MusicDance,5,0.0002,99.964,BC,UNMAPPED -> dropped,,False
NSCC,5,0.0002,99.9642,NS,UNMAPPED -> dropped,,False
Peel Living,5,0.0002,99.9644,ON,UNMAPPED -> dropped,,False
Motel Units,5,0.0002,99.9646,NS,UNMAPPED -> dropped,commercial,False
Veterinary Hospital / Clinic,5,0.0002,99.9648,ON,UNMAPPED -> dropped,institutional,False
Waste Management,5,0.0002,99.965,NB,UNMAPPED -> dropped,,False
Heliport,4,0.0002,99.9652,AB,UNMAPPED -> dropped,,False
Bar / Restaurant / Performance / Gallery / Exhibition,4,0.0002,99.9654,ON,UNMAPPED -> dropped,commercial,False
Cafe / Bakery,4,0.0002,99.9656,ON,UNMAPPED -> dropped,,False
Transit Depot,4,0.0002,99.9658,NS,UNMAPPED -> dropped,,False
Middle School,4,0.0002,99.966,ON,UNMAPPED -> dropped,institutional,False
Civic,4,0.0002,99.9662,BC,UNMAPPED -> dropped,,False
Chemical Facility,4,0.0002,99.9664,ON,UNMAPPED -> dropped,,False
StrongStart BC,4,0.0002,99.9666,BC,UNMAPPED -> dropped,,False
Telephone Facility,4,0.0002,99.9668,ON,UNMAPPED -> dropped,,False
Trailhead Pit Toilet,4,0.0002,99.967,AB,UNMAPPED -> dropped,,False
Multi-Use (Commercial / Multi-Family),4,0.0002,99.9672,BC,UNMAPPED -> dropped,multi_residential,True
Mining Operations,4,0.0002,99.9674,ON,UNMAPPED -> dropped,,False
Hospital / Medical Centre,4,0.0002,99.9676,ON,UNMAPPED -> dropped,institutional,False
Organization,4,0.0002,99.9678,BC,UNMAPPED -> dropped,,False
