type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Religious Facility,59,1,ON,0.0028,99.7145,ON,UNMAPPED -> dropped,no,,,
Centre communautaire,58,1,QC,0.0027,99.7172,QC,UNMAPPED -> dropped,no,,,
Amenity,58,1,BC,0.0027,99.7199,BC,UNMAPPED -> dropped,no,,,
Théâtre / salle de spectacle / petit lieu de diffusion,57,1,QC,0.0027,99.7226,QC,UNMAPPED -> dropped,no,,,
Fire,57,3,AB;BC;ON,0.0027,99.7253,BC,UNMAPPED -> dropped,no,,,
Studio/Rehearsal,55,1,BC,0.0026,99.7279,BC,UNMAPPED -> dropped,no,,,
Purpose Built,53,1,ON,0.0025,99.7304,ON,UNMAPPED -> dropped,no,,,
Institutionnel,51,1,QC,0.0024,99.7328,QC,UNMAPPED -> dropped,no,,,
Municipal Facility,51,3,AB;NB;ON,0.0024,99.7352,AB,UNMAPPED -> dropped,no,,,
Community Hall,49,3,AB;BC;ON,0.0023,99.7375,AB,UNMAPPED -> dropped,no,,,
General Recreation or Landmark Facility,49,1,ON,0.0023,99.7398,ON,UNMAPPED -> dropped,no,,,
Government Service,47,1,ON,0.0022,99.742,ON,UNMAPPED -> dropped,no,,,
Parcs,46,1,QC,0.0022,99.7442,QC,UNMAPPED -> dropped,no,,,
Mixed Industrial/Commercial,46,1,AB,0.0022,99.7464,AB,UNMAPPED -> dropped,no,,,
Secondary School,46,2,BC;ON,0.0022,99.7486,ON,UNMAPPED -> dropped,no,,,
Police Station,46,6,AB;BC;NB;NS;ON;SK,0.0022,99.7508,ON,UNMAPPED -> dropped,no,,,
Recreation Centre,46,5,AB;BC;NB;NS;ON,0.0022,99.753,AB,UNMAPPED -> dropped,no,,,
Retail,45,1,ON,0.0021,99.7551,ON,commercial,no,,,
Bunkhouse,45,1,ON,0.0021,99.7572,ON,UNMAPPED -> dropped,no,,,
Derelict / Abandoned,45,1,NS,0.0021,99.7593,NS,UNMAPPED -> dropped,no,,,
Fort,45,1,ON,0.0021,99.7614,ON,UNMAPPED -> dropped,no,,,
House,45,1,ON,0.0021,99.7635,ON,residential_single,no,,,
Energy Facility,44,2,NB;ON,0.0021,99.7656,ON,UNMAPPED -> dropped,no,,,
Mixed Use - Residential with Service/Retail/Office,42,1,AB,0.002,99.7676,AB,UNMAPPED -> dropped,no,,,
Institutional Residence / Dorm / Barracks,42,1,ON,0.002,99.7696,ON,UNMAPPED -> dropped,no,,,
Land Use Contract,42,1,BC,0.002,99.7716,BC,UNMAPPED -> dropped,no,,,
